"","word","block","id","cond","order","word_duration","vot","KF","vot_per","word_id"
"3460","pall","b","46","g2",0,397.851473,71.278692,42,17.9159050141307,"pall46"
"3500","pall","a","47","g1",0,491.677505,66.187356,42,13.4615383715796,"pall47"
"3540","pall","b","47","g1",0,343.301453,21.092674,42,6.14406779105593,"pall47"
"3580","pall","a","48","g2",0,388.396134,43.640015,42,11.2359550417152,"pall48"
"3620","pall","b","48","g2",0,403.906701,77.927652,42,19.2934783718778,"pall48"
"3660","pall","a","49","g1",0,445.244672,83.415514,42,18.7347584925171,"pall49"
"3699","pall","b","49","g1",0,464.273191,118.537836,42,25.531914893617,"pall49"
"3738","pall","a","1","g1",0,276.903987,55.880312,42,20.1803927077439,"pall1"
"3778","pall","b","1","g1",0,296.344591,51.58591,42,17.4074073111731,"pall1"
"3818","pall","a","2","g1",0,316.100898,63.110422,42,19.9652776690309,"pall2"
"3857","pall","b","2","g1",0,453.297468,77.927652,42,17.1912833186176,"pall2"
"32","pallet","a","3","g1",62,387.9919,64.619585,1,16.6548799085754,"pallet3"
"67","pallet","b","3","g1",54,475.550606,77.795631,1,16.3590646333863,"pallet3"
"112","pallet","a","4","g1",62,406.489421,46.646834,1,11.4755345625588,"pallet4"
"147","pallet","b","4","g1",54,334.622434,61.738457,1,18.4501846639487,"pallet4"
"192","pallet","a","5","g1",62,371.501054,75.42354,1,20.302375777378,"pallet5"
"227","pallet","b","5","g1",54,358.662722,71.642358,1,19.9748548163865,"pallet5"
"271","pallet","a","6","g2",62,392.760138,48.18585,1,12.2685184513302,"pallet6"
"306","pallet","b","6","g2",54,366.000514,74.653534,1,20.3971117920343,"pallet6"
"351","pallet","a","7","g2",62,355.562376,86.552697,1,24.342479081645,"pallet7"
"386","pallet","b","7","g2",54,474.221499,65.460023,1,13.8036810094095,"pallet7"
"431","pallet","a","8","g2",62,494.39565,82.188695,1,16.6240732498354,"pallet8"
"466","pallet","b","8","g2",54,557.842132,115.066446,1,20.6270626400087,"pallet8"
"509","pallet","a","9","g2",62,420.095898,58.445739,1,13.912475527195,"pallet9"
"544","pallet","b","9","g2",54,407.791717,69.147071,1,16.9564677548367,"pallet9"
"589","pallet","a","10","g2",62,388.396126,71.27869,1,18.3520599790946,"pallet10"
"623","pallet","b","10","g2",54,424.760581,103.171821,1,24.2894057534967,"pallet10"
"668","pallet","a","11","g1",62,400.065198,96.586385,1,24.1426611169512,"pallet11"
"703","pallet","b","11","g1",54,430.248442,79.025224,1,18.3673469292888,"pallet11"
"746","pallet","a","12","g1",62,404.115294,10.087363,1,2.49615967268984,"pallet12"
"779","pallet","b","12","g1",54,369.607559,57.622559,1,15.590200361676,"pallet12"
"824","pallet","a","13","g1",62,766.609601,130.920046,1,17.0777988991035,"pallet13"
"859","pallet","b","13","g1",54,625.506886,151.285386,1,24.1860464506541,"pallet13"
"903","pallet","a","14","g1",62,363.120076,62.233126,1,17.1384426566379,"pallet14"
"938","pallet","b","14","g1",54,448.037489,86.552697,1,19.318181876517,"pallet14"
"982","pallet","a","15","g1",62,526.589512,77.824693,1,14.7790055112226,"pallet15"
"1017","pallet","b","15","g1",54,555.337308,68.194484,1,12.2798311976547,"pallet15"
"1062","pallet","a","16","g1",62,491.677505,84.370696,1,17.1597632883367,"pallet16"
"1097","pallet","b","16","g1",54,498.223506,76.370026,1,15.3284670595209,"pallet16"
"1142","pallet","a","17","g1",62,441.855154,85.09803,1,19.2592593363752,"pallet17"
"1177","pallet","b","17","g1",54,461.129494,82.916029,1,17.9810725791484,"pallet17"
"1222","pallet","a","18","g1",62,405.033888,67.198804,1,16.5909090549974,"pallet18"
"1257","pallet","b","18","g1",54,375.30413,75.642693,1,20.1550387948036,"pallet18"
"1302","pallet","a","19","g1",62,432.459732,83.643363,1,19.3413066722245,"pallet19"
"1337","pallet","b","19","g1",54,403.84391,76.370027,1,18.9107784242679,"pallet19"
